
=========================
Scan Time: 2026-01-30 14:57:19.236369
Target: 192.168.2.100
Ports: 20-100
Port 38: closed
Port 21: closed
Port 42: closed
Port 20: closed
Port 35: closed
Port 24: closed
Port 39: closed
Port 28: closed
Port 22: closed
Port 29: closed
Port 34: closed
Port 44: closed
Port 30: closed
Port 32: closed
Port 25: closed
Port 26: closed
Port 31: closed
Port 43: closed
Port 23: closed
Port 37: closed
Port 40: closed
Port 36: closed
Port 33: closed
Port 47: closed
Port 48: closed
Port 41: closed
Port 27: closed
Port 45: closed
Port 49: closed
Port 46: closed
Port 52: closed
Port 50: closed
Port 51: closed
Port 55: closed
Port 54: closed
Port 58: closed
Port 53: closed
Port 57: closed
Port 59: closed
Port 68: closed
Port 60: closed
Port 56: closed
Port 62: closed
Port 71: closed
Port 63: closed
Port 72: closed
Port 66: closed
Port 65: closed
Port 67: closed
Port 64: closed
Port 61: closed
Port 70: closed
Port 74: closed
Port 73: closed
Port 69: closed
Port 75: closed
Port 77: closed
Port 82: closed
Port 78: closed
Port 85: closed
Port 76: closed
Port 81: closed
Port 80: closed
Port 83: closed
Port 88: closed
Port 84: closed
Port 86: closed
Port 87: closed
Port 91: closed
Port 90: closed
Port 98: closed
Port 89: closed
Port 95: closed
Port 92: closed
Port 97: closed
Port 94: closed
Port 99: closed
Port 100: closed
Port 96: closed
Port 93: closed

=========================
Scan Time: 2026-01-30 18:47:15.250641
Target: 198.168.2.100
Ports: 20-80
Port 55: filtered
Port 47: filtered
Port 57: filtered
Port 58: filtered
Port 50: filtered
Port 44: filtered
Port 56: filtered
Port 54: filtered
Port 52: filtered
Port 61: filtered
Port 53: filtered
Port 51: filtered
Port 64: filtered
Port 62: filtered
Port 65: filtered
Port 69: filtered
Port 60: filtered
Port 66: filtered
Port 71: filtered
Port 78: filtered
Port 67: filtered
Port 63: filtered
Port 74: filtered
Port 75: filtered
Port 77: filtered
Port 76: filtered
Port 70: filtered
Port 73: filtered
Port 79: filtered
Port 68: filtered
Port 80: open
